M,WT,G
1,452.75,96.5
2,395,133.5
3,359.25,178.25
4,347.75,153.75
5,272.25,161
6,312.75,193
7,308.25,217.5
8,323.75,183.5
9,366.25,92.75
10,386,129
11,389.75,95.75
12,341.5,160.75
13,247.75,238.75
14,260.5,172
15,490.5,62.75
16,275,237
17,310.25,174.25
18,457.25,82.25
