M,WT,G
1,294,173
1,190,84
1,494,51
1,487,63
2,414,130
2,505,55
2,349,131
2,276,200
3,286,176
3,432,59
3,436,57
3,405,91
4,249,335
4,449,67
4,478,37
4,190,204
5,179,298
5,256,197
5,120,358
5,436,102
6,149,412
6,352,99
6,180,92
6,361,85
7,461,69
7,512,65
7,500,54
7,489,63
8,423,127
8,169,372
8,287,189
8,221,260
9,303,153
9,256,240
9,261,236
9,421,68
10,567,18
10,431,65
10,330,173
10,501,73
,,
,,
,,
,,
,,
,,
,,
,,
,,
